time,qw,qx,qy,qz
0.00,0.5724519,-0.4150889,-0.4150889,0.5724519
0.02,0.5537182,-0.4005191,-0.4290370,0.5906842
0.04,0.5345182,-0.3853738,-0.4423209,0.6083828
0.06,0.5148901,-0.3697015,-0.4549013,0.6255188
0.08,0.4948743,-0.3535538,-0.4667431,0.6420670
0.10,0.4745132,-0.3369838,-0.4778148,0.6580062
0.12,0.4538507,-0.3200466,-0.4880894,0.6733190
0.14,0.4329320,-0.3027984,-0.4975441,0.6879919
0.16,0.4118026,-0.2852959,-0.5061605,0.7020159
0.18,0.3905087,-0.2675965,-0.5139245,0.7153857
0.20,0.3690959,-0.2497570,-0.5208263,0.7281000
0.22,0.3476096,-0.2318340,-0.5268600,0.7401615
0.24,0.3260941,-0.2138830,-0.5320242,0.7515763
0.26,0.3045924,-0.1959582,-0.5363209,0.7623541
0.28,0.2831460,-0.1781123,-0.5397559,0.7725076
0.30,0.2617948,-0.1603962,-0.5423381,0.7820524
0.32,0.2405765,-0.1428585,-0.5440798,0.7910067
0.34,0.2195266,-0.1255458,-0.5449959,0.7993909
0.36,0.1986784,-0.1085023,-0.5451039,0.8072272
0.38,0.1780629,-0.0917694,-0.5444236,0.8145397
0.40,0.1577085,-0.0753863,-0.5429765,0.8213534
0.42,0.1376413,-0.0593892,-0.5407861,0.8276945
0.44,0.1178848,-0.0438120,-0.5378773,0.8335896
0.46,0.0984603,-0.0286859,-0.5342763,0.8390659
0.48,0.0793866,-0.0140393,-0.5300102,0.8441504
0.50,0.0606804,0.0001016,-0.5251069,0.8488702
0.52,0.0423561,0.0137133,-0.5195952,0.8532519
0.54,0.0244262,0.0267747,-0.5135041,0.8573214
0.56,0.0069011,0.0392670,-0.5068634,0.8611040
0.58,0.0102105,-0.0511734,0.4997027,-0.8646238
0.60,0.0269015,-0.0624797,0.4920521,-0.8679040
0.62,0.0431665,-0.0731735,0.4839416,-0.8709666
0.64,0.0590016,-0.0832446,0.4754014,-0.8738322
0.66,0.0744040,-0.0926846,0.4664614,-0.8765200
0.68,0.0893722,-0.1014871,0.4571516,-0.8790480
0.70,0.1039060,-0.1096476,0.4475016,-0.8814325
0.72,0.1180059,-0.1171634,0.4375410,-0.8836884
0.74,0.1316734,-0.1240334,0.4272990,-0.8858292
0.76,0.1449109,-0.1302585,0.4168043,-0.8878670
0.78,0.1577214,-0.1358411,0.4060855,-0.8898122
0.80,0.1701086,-0.1407853,0.3951706,-0.8916741
0.82,0.1820767,-0.1450969,0.3840870,-0.8934608
0.84,0.1936305,-0.1487833,0.3728615,-0.8951788
0.86,0.2047752,-0.1518533,0.3615202,-0.8968338
0.88,0.2155163,-0.1543173,0.3500885,-0.8984303
0.90,0.2258598,-0.1561872,0.3385909,-0.8999718
0.92,0.2358116,-0.1574761,0.3270507,-0.9014610
0.94,0.2453782,-0.1581986,0.3154905,-0.9029000
0.96,0.2545660,-0.1583704,0.3039314,-0.9042901
0.98,0.2633816,-0.1580084,0.2923936,-0.9056321
1.00,0.2718317,-0.1571304,0.2808957,-0.9069262
1.02,0.2799228,-0.1557551,0.2694549,-0.9081727
1.04,0.2876616,-0.1539020,0.2580872,-0.9093712
1.06,0.2950547,-0.1515915,0.2468068,-0.9105214
1.08,0.3021085,-0.1488440,0.2356265,-0.9116227
1.10,0.3088294,-0.1456808,0.2245575,-0.9126749
1.12,0.3152234,-0.1421232,0.2136093,-0.9136773
1.14,0.3212967,-0.1381925,0.2027898,-0.9146297
1.16,0.3270549,-0.1339104,0.1921055,-0.9155319
1.18,0.3325036,-0.1292980,0.1815611,-0.9163836
1.20,0.3376481,-0.1243766,0.1711599,-0.9171851
1.22,0.3424934,-0.1191670,0.1609036,-0.9179366
1.24,0.3470443,-0.1136894,0.1507926,-0.9186384
1.26,0.3513054,-0.1079639,0.1408258,-0.9192913
1.28,0.3552808,-0.1020098,0.1310008,-0.9198958
