t,qx,qy,qz,qw
0.00,0.10330297,-0.19017434,0.08789537,0.97233565
0.02,0.10028717,-0.19498184,0.09416598,0.97111139
0.04,0.09783157,-0.19854382,0.09914817,0.97014379
0.06,0.09408918,-0.20340997,0.10658782,0.96871598
0.08,0.09092824,-0.20703525,0.11275869,0.96755048
0.10,0.08774470,-0.21027955,0.11889956,0.96640896
0.12,0.08390391,-0.21371724,0.12623471,0.96506470
0.14,0.08068583,-0.21629372,0.13233178,0.96394768
0.16,0.07810328,-0.21818545,0.13720126,0.96305286
0.18,0.07487237,-0.22033154,0.14327737,0.96193541
0.20,0.07229074,-0.22186984,0.14813040,0.96104381
0.22,0.06907618,-0.22356394,0.15418583,0.95993457
0.23,0.06651708,-0.22473875,0.15902950,0.95905036
0.25,0.06334037,-0.22599302,0.16507605,0.95794835
0.28,0.05956935,-0.22719646,0.17231740,0.95662949
0.30,0.05585524,-0.22807910,0.17954091,0.95531418
0.32,0.05341817,-0.22849497,0.18434639,0.95443855
0.34,0.05042246,-0.22882677,0.19034027,0.95334488
0.36,0.04690127,-0.22896131,0.19752763,0.95202932
0.38,0.04459865,-0.22890507,0.20231679,0.95114739
0.40,0.04122212,-0.22860977,0.20948438,0.94981820
0.42,0.03847372,-0.22820010,0.21544334,0.94869840
0.45,0.03469408,-0.22754354,0.22374580,0.94707871
0.47,0.03153828,-0.22694704,0.23072330,0.94565699
0.49,0.02894827,-0.22639581,0.23654174,0.94443366
0.51,0.02690640,-0.22590660,0.24119131,0.94343468
0.52,0.02488985,-0.22536809,0.24583750,0.94241904
0.55,0.02190923,-0.22446004,0.25280901,0.94086411
0.57,0.01946119,-0.22360724,0.25862616,0.93953902
0.58,0.01751979,-0.22285137,0.26330091,0.93845775
0.60,0.01558049,-0.22201601,0.26804078,0.93734747
0.62,0.01364714,-0.22111287,0.27280918,0.93621472
0.63,0.01172645,-0.22014348,0.27758161,0.93506566
0.65,0.00981525,-0.21910863,0.28235849,0.93389976
0.67,0.00742512,-0.21771755,0.28837900,0.93240629
0.69,0.00456466,-0.21591672,0.29561381,0.93057595
0.71,0.00219094,-0.21430616,0.30163212,0.92902429
0.73,-0.00018561,-0.21258662,0.30765606,0.92744522
0.75,-0.00257345,-0.21076072,0.31368921,0.92583604
0.77,-0.00496207,-0.20884498,0.31970559,0.92420100
0.79,-0.00735760,-0.20685051,0.32570420,0.92253754
0.81,-0.00978984,-0.20484158,0.33168388,0.92083109
0.84,-0.01278215,-0.20246482,0.33883639,0.91871351
0.86,-0.01533056,-0.20049841,0.34477423,0.91689481
0.88,-0.01843187,-0.19814919,0.35181679,0.91467050
0.90,-0.02053183,-0.19656224,0.35649709,0.91315472
0.91,-0.02265861,-0.19495087,0.36117252,0.91161130
0.93,-0.02535484,-0.19289563,0.36701172,0.90964323
0.95,-0.02753881,-0.19121509,0.37166449,0.90804400
0.97,-0.03086675,-0.18860798,0.37865191,0.90559208
1.00,-0.03427711,-0.18588184,0.38570489,0.90305302
1.02,-0.03716405,-0.18352196,0.39157060,0.90089455
1.04,-0.04009216,-0.18106964,0.39743435,0.89869480
1.05,-0.04246503,-0.17903092,0.40213709,0.89690045
1.07,-0.04546399,-0.17637882,0.40802350,0.89461744
1.09,-0.04849139,-0.17360706,0.41389998,0.89229815
1.12,-0.05219741,-0.17008127,0.42103822,0.88942375
1.13,-0.05470597,-0.16762440,0.42583092,0.88745554
1.15,-0.05790631,-0.16449502,0.43183888,0.88493132
1.17,-0.06118209,-0.16131230,0.43786134,0.88233358
1.19,-0.06451810,-0.15806534,0.44389079,0.87966683
1.21,-0.06789358,-0.15474215,0.44991800,0.87693736
1.24,-0.07198911,-0.15061911,0.45719369,0.87355903
1.25,-0.07473035,-0.14778557,0.46205378,0.87125260
1.27,-0.07814998,-0.14415096,0.46812031,0.86831818
1.29,-0.08087310,-0.14116220,0.47297101,0.86592794
1.31,-0.08425114,-0.13732678,0.47902776,0.86288789
1.34,-0.08890495,-0.13177687,0.48748166,0.85854085
1.36,-0.09216048,-0.12768485,0.49350439,0.85536918
1.38,-0.09597711,-0.12263575,0.50071487,0.85148898
1.40,-0.09968854,-0.11744984,0.50790617,0.84752525
1.42,-0.10269742,-0.11303568,0.51387233,0.84416314
1.44,-0.10507071,-0.10948803,0.51859763,0.84144460
1.46,-0.10802712,-0.10504944,0.52448609,0.83797918
